pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
-48=-0.006s (0.0124)/-24=-0.003s (0.00243)
-46=-0.006s (0)/-23=-0.003s (0.000387)
-44=-0.006s (0.00803)/-22=-0.003s (-0.00131)
-42=-0.005s (-0.0076)/-21=-0.003s (-0.0018)
-40=-0.005s (-0.01)/-20=-0.003s (-0.00303)
-38=-0.005s (-0.0076)/-19=-0.002s (-0.000202)
-36=-0.005s (-0.00418)/-18=-0.002s (-2.92e-005)
-34=-0.004s (0.00461)/-17=-0.002s (-0.00115)
-32=-0.004s (0.00461)/-16=-0.002s (-0.00213)
-30=-0.004s (0.0119)/-15=-0.002s (-0.000489)
-28=-0.004s (0.00998)/-14=-0.002s (0.00255)
-26=-0.003s (0.00998)/-13=-0.002s (-0.000839)
-24=-0.003s (-0.01)/-12=-0.002s (-0.000712)
-22=-0.003s (0.00803)/-11=-0.001s (0.0024)
-20=-0.003s (-0.012)/-10=-0.001s (-0.000936)
-18=-0.002s (-0.00418)/-9=-0.001s (-0.00174)
-16=-0.002s (-0.01)/-8=-0.001s (0.000625)
-14=-0.002s (0)/-7=-0.001s (-0.00381)
-12=-0.002s (-0.01)/-6=-0.001s (-0.000904)
-10=-0.001s (-0.01)/-5=-0.001s (0.00262)
-8=-0.001s (-0.00467)/-4=-0.001s (0.00177)
-6=-0.001s (0)/-3=-0.000s (0.00326)
-4=-0.001s (0.0105)/-2=-0.000s (0.00408)
-2=-0.000s (0.0105)/-1=-0.000s (0.00165)
0=0.000s (0.0129)/0=0.000s (0.00311)
2=0.000s (0.00461)/1=0.000s (0.00336)
4=0.001s (0)/2=0.000s (-0.000415)
6=0.001s (0.00461)/3=0.000s (-0.000812)
8=0.001s (0)/4=0.001s (-0.00489)
10=0.001s (0)/5=0.001s (-0.00527)
12=0.002s (0.00461)/6=0.001s (-0.00508)
14=0.002s (-0.00418)/7=0.001s (-0.00747)
16=0.002s (-0.0125)/8=0.001s (-0.00867)
18=0.002s (-0.0076)/9=0.001s (-0.0055)
20=0.003s (0.00803)/10=0.001s (-0.0071)
22=0.003s (0.00461)/11=0.001s (-0.00598)
24=0.003s (0.00461)/12=0.002s (-0.00463)
26=0.003s (0.00461)/13=0.002s (-0.00503)
28=0.004s (0.0124)/14=0.002s (-0.00659)
30=0.004s (0.0105)/15=0.002s (-0.0036)
32=0.004s (0.0124)/16=0.002s (-0.00318)
34=0.004s (0.0105)/17=0.002s (-0.00346)
36=0.005s (0.0129)/18=0.002s (-0.00341)
38=0.005s (0.00461)/19=0.002s (0.00426)
40=0.005s (0.0129)/20=0.003s (0.00858)
42=0.005s (-0.00467)/21=0.003s (0.00767)
44=0.006s (-0.01)/22=0.003s (0.00393)
46=0.006s (-0.0135)/23=0.003s (0.00202)
48=0.006s (0.0051)/24=0.003s (0.00382)
50=0.006s (0)/25=0.003s (0.000665)
